x	id	Time	FoodType	RUS NAME	Голод	Жажда	Calories	Proteins	Lipids	Carbohydrates	CantEat	CannedFood	EvolvedRecipe	evo_out
	Base.Crayfish	30	Seafood	Речной рак	-10		40	8	2	0			Pizza:10;Soup:10;Stew:10;Pie:10;Stir fry Griddle Pan:10;Stir fry:10;Sandwich:10|Cooked;Sandwich Baguette:10|Cooked;Burger:10|Cooked;Salad:10|Cooked;Roasted Vegetables:10;RicePot:10;RicePan:10;PastaPot:10;PastaPan:10;Burrito:10|Cooked;Taco:10|Cooked	
	Base.Cricket			Сверчок	-5		20	3,6	1,32	1,34				
	Base.Crisps			Чипсы	-15		720	4,5	45	72				
	Base.Crisps2			Чипсы	-15		720	4,5	45	72				
	Base.Crisps3			Чипсы	-15		720	4,5	45	72				
	Base.Crisps4			Чипсы	-15		720	4,5	45	72				
	Base.Croissant			Круассан	-8		180	4	15	32				
	Base.Cupcake			Кекс	-20		305	4	4	67				
	Base.Daikon	50	Vegetables	Дайкон	-12	-5	54	1,34	0,27	12,59			Soup:6;Stew:12;Pie:12;Stir fry Griddle Pan:12;Stir fry:12;Salad:4;Roasted Vegetables:12;RicePot:12;RicePan:12;PastaPot:12;PastaPan:12	
	Base.Dandelions	-1	Greens	Одуванчики	-5		25	1,5	0,5	5			Pizza:5;HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Omelette:5;Sandwich:5;Salad:5;Sandwich Baguette:5;Soup:5;Burger:5	
	Base.DeadBird			Мёртвая птица	-15		161	22	2	0,5				
	Base.DeadMouse			Мёртвая мышь	-10		220	9,5	3,15	0,7				
	Base.DeadRabbit			Мёртвый кролик	-45		1730	330	35	0				
	Base.DeadRat			Мёртвая крыса	-22		324	40	16	0				
	Base.DeadSquirrel			Мёртвая белка	-32		480	84,8	15	0				
	Base.DehydratedMeatStick			Вяленая колбаска	-10		100	21,63	5,1	5,3				
	Base.Dogfood			Собачий корм			498	16,04	12,58	77,56	TRUE	TRUE		
	Base.DogfoodOpen	240	Meat	Открыт. собачий корм	-30		498	16,04	12,58	77,56		TRUE		
	Base.Dough			Тесто	-15	20	532	17,7	6,66	99				
	Base.DoughRolled			Раскатанное тесто	-15	20	532	17,7	6,66	99				
	Base.DoughnutChocolate			Шоколадный пончик	-7		180	3	15	35				
	Base.DoughnutFrosted			Глазированный пончик	-7		180	3	15	35				
	Base.DoughnutJelly			Пончик с желе	-7		180	3	15	35				
	Base.DoughnutPlain			Пончик	-7		180	3	15	35				
	Base.DriedBlackBeans	120	Bean	Сушёная чёрная фасоль	-60	60	3084	199	0	580			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.DriedChickpeas	90	Bean	Сушёный нут	-60	60	2851	181	0	544			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.DriedKidneyBeans	90	Bean	Сушёная красная фасоль	-60	60	3265	272	13	508			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.DriedLentils	90	Vegetables	Сушёная чечевица	-60	60	3000	220	0	540			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.DriedSplitPeas	150	Vegetables	Сушёный колотый горох	-60	60	2217	221	0	544			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.DriedWhiteBeans	120	Bean	Сушёная белая фасоль	-60	60	2823	188	10	527			Soup:10;Stew:10;RicePot:10;PastaPot:10	
	Base.Edamame	50	Vegetables	Эдамаме	-5		25	3,95	0,45	10,45			Soup:5;Stew:5;Stir fry Griddle Pan:5;Stir fry:5;Roasted Vegetables:5;RicePot:5;RicePan:5	
	Base.Egg	45	Egg	Яйцо	-7		63	5,55	4,18	0,32			Stir fry Griddle Pan:7;Stir fry:7;Roasted Vegetables:7;RicePot:7;RicePan:7;PastaPot:7;PastaPan:7	
	Base.EggBoiled	45	Egg	Яйцо варёное	-10		63	5,55	4,18	0,32			Sandwich:10;Sandwich Baguette:10;Burger:10;Salad:10;Burrito:10;Taco:5;Soup:10;Stew:10	
	Base.EggCarton			Упаковка яиц										
	Base.EggOmelette	120	Egg	Омлет	-20		120	10,55	6,18	0,52			Sandwich:20;Sandwich Baguette:20;Burger:20;Salad:20;Burrito:20;Taco:10	
	Base.EggPoached	45	Egg	Яйцо-пашот	-10		63	5,55	4,18	0,32			Sandwich:10;Sandwich Baguette:10;Burger:10;Salad:10;Burrito:10;Taco:5	
	Base.EggScrambled	45	Egg	Яичница-болтунья	-20		120	10,55	6,18	0,52			Sandwich:20;Sandwich Baguette:20;Burger:20;Salad:20;Burrito:20;Taco:10	
	Base.Eggplant	50	Vegetables	Баклажан	-16	-9	114	4,49	0,82	26,93			Pizza:8;Omelette:8;Soup:16;Stew:16;Pie:16;Stir fry Griddle Pan:16;Stir fry:16;Burger:8;Sandwich:4;Sandwich Baguette:4;Salad:8;Roasted Vegetables:16;RicePot:16;RicePan:16;PastaPot:16;PastaPan:16	
	Base.FishFillet	50	Fish	Филе рыбы	-25		205	28,52	12	1			Pizza:15;Soup:15;Stew:15;Pie:15;Stir fry Griddle Pan:15;Stir fry:15;Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:10|Cooked;Salad:10|Cooked;Roasted Vegetables:15;RicePot:15;RicePan:15;PastaPot:15;PastaPan:15;Taco:10|Cooked;Burrito:15|Cooked	
	Base.FishFried	50	Fish	Рыба жареная	-30		210	16	12	7			Soup:15;Stew:15;Pie:15;Stir fry Griddle Pan:15;Stir fry:15;Sandwich:5;Sandwich Baguette:5;Burger:10;Salad:10;Roasted Vegetables:15;RicePot:15;RicePan:15;PastaPot:15;PastaPan:15;Burrito:10;Taco:5	
	Base.FishRoe		NoExplicit	Икра рыбы	-10		63	5,55	4,18	0,32			Salad:2;Sandwich:2;Sandwich Baguette:2;Soup:2	
	Base.FriedOnionRings	50	Vegetables	Жареные луковые кольца	-10		200	2	12	22			Sandwich:5;Sandwich Baguette:5;Burger:5;Salad:5	
	Base.FriedOnionRingsCraft	50	Vegetables	Жареные луковые кольца	-10		200	2	12	22			Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:5|Cooked;Salad:5|Cooked	
	Base.Fries			Картофель фри	-10		203	3,35	5,19	35,97				
	Base.FrogMeat	120	Game	Мясо лягушки	-10		66	14,6	0,28	0			Soup:10;Stew:10;Stir fry Griddle Pan:10;Stir fry:10;Salad:10|Cooked;Roasted Vegetables:10	
	Base.FruitSalad			Салат фруктовый	-60		97	1,4	0,5	25				
	Base.GingerPickled		NoExplicit	Маринованный имбирь	-5		23	2,55	1,18	0,22			Salad:1;Sandwich:1;Sandwich Baguette:1;Soup:1;Stew:1;Stir fry:1;Stir fry Griddle Pan:1	
	Base.GingerRoot		NoExplicit	Корень имбиря	-5		46	5,10	2,36	0,44			Beverage:1;Beverage2;Salad:1;Sandwich:1;Sandwich Baguette:1;Soup:2;Stew:2;Stir fry:2;Stir fry Griddle Pan:2;HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1	
	Base.Ginseng		NoExplicit	Женьшень	-1		0,1	0	0	0			Beverage:1;Beverage2;HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1	
	Base.GrahamCrackers			Галеты	-5		70	1	6	12				
	Base.GranolaBar			Злаковый батончик	-15		270	20	44	120				
	Base.GrapeLeaves	50	Vegetables	Виноградная листва	-4		73	4	2	11			Soup:4;Stew:4;Salad:4;RicePot:4;RicePan:4;Pie:4;Sandwich:4;Sandwich Baguette:4	
	Base.Grapefruit	30	Fruits	Грейпфрут	-20	-50	15	17,56	3,78	101,11			Salad:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10	
	Base.Grapes	30	Fruits	Виноград	-15	-5	62	0,58	0,32	15,78			Cake:15;FruitSalad:15;Pancakes:15;Waffles:15;Muffin:15;Salad:5	
	Base.Grasshopper			Кузнечик	-5		25	5,55	0,24	3				
	Base.Gravy		NoExplicit	Подливка	-8		79	2	6	5			Sandwich:1;Sandwich Baguette:1;Burger:1;RicePot:4;RicePan:4;Roasted Vegetables:4;Stew:4;Pie:4	
2	Base.GriddlePanFriedVegetables			Стир-фрай			190	11	2	25				
	Base.GrilledCheese			Поджаренный бутерброд с сыром	-16		366	12	22,5	28				
	Base.Guacamole		NoExplicit	Гуакамоле	-8		182	4,6	16,6	2			Taco:2;Burrito:2;Sandwich:2;Sandwich Baguette:2;Burger:2;Omelette:2	
	Base.Gum			Жевательная резинка	-1		30	0	0	10				
	Base.GummyBears	20	Candy	Жевательные мишки	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.GummyWorms	20	Candy	Жевательные червячки	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.HalloweenPumpkin	60		Фонарь из тыквы	-40		404	34,53	20,61	20,45				
	Base.Ham	240	Meat	Ветчина	-60		1560	117	78	91				
	Base.HamSlice	240	Meat	Кусочек ветчины	-10		260	19,5	13	15,16			Pizza:10;Soup:10;Stew:10;Omelette:10;Sandwich:10;Sandwich Baguette:10;Burger:10;Salad:10;RicePot:10;RicePan:10;PastaPot:10;PastaPan:10	
	Base.HardCandies	20	Candy	Леденцы	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.HiHis			Шоколадный рулет	-10		200	1,8	8	30				
	Base.HollyBerry	20	Berry	Падуб	-10	-1	23	4	0	5			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;ConeIcecream:5;PieSweet:10;Oatmeal:5	
	Base.Honey	70		Мёд	-20		660	0	0	187			Beverage:2;Beverage2:2;Cake:5;Sandwich:2;Sandwich Baguette:2;FruitSalad:2;HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Pancakes:2;Waffles:2;ConeIcecream:2;PieSweet:5;Toast:2;Oatmeal:2	
2	Base.HotDrink			Кружка напитка		-20								
2	Base.HotDrinkRed			Кружка горячего напитка		-20								
2	Base.HotDrinkSpiffo			Кружка горячего напитка		-20								
2	Base.HotDrinkTea			Кружка горячего напитка		-20								
2	Base.HotDrinkWhite			Кружка горячего напитка		-20								
	Base.Hotdog	240	Meat	Хот-дог	-20		100	2	12	2			Soup:20;Stew:20;Stir fry Griddle Pan:20;Stir fry:20;Roasted Vegetables:20;RicePot:20;RicePan:20;Taco:20;Burrito:20;Omelette:20;Burger:20;Sandwich:20;Sandwich Baguette:20	
	Base.Hotsauce		NoExplicit	Острый соус	-16		430	0	0	270			Pizza:4;Omelette:2;Sandwich:2;Sandwich Baguette:2;Burger:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2;Taco:2;Burrito:2;Beverage:1;Beverage2:1;Stir fry:4;Stir fry Griddle Pan:4;Beer:1;Beer2:1	
	Base.Icecream	130		Мороженое	-30		1680	26	84	180				
	Base.IcecreamMelted	130		Растаявшее мороженое	-30		1680	26	84	180				
	Base.Icing		NoExplicit	Сахарная глазурь	-10		110	16	44	80			Cake:10;Pancakes:5;Waffles:5;Muffin:10;ConeIcecream:5;PieSweet:10;Toast:5;Bread:10	
	Base.JamFruit		NoExplicit	Фруктовый джем	-30		550	1	0	130			Sandwich:3;Sandwich Baguette:3;Pancakes:5;Waffles:5;ConeIcecream:5;Cake:15;Toast:3;Bread:15;Oatmeal:3	
	Base.JamMarmalade		NoExplicit	Мармелад	-30		550	1	0	130			Sandwich:3;Sandwich Baguette:3;Pancakes:5;Waffles:5;ConeIcecream:5;Cake:15;Toast:3;Bread:15;Oatmeal:3	
	Base.JellyBeans	20	Candy	Желейные бобы	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.JuiceBox	20	Juice	Коробка сока	-2	-13	60	0	0	14			Beverage:2;Beverage2:2	
	Base.Jujubes	20	Candy	Мармеладки	-5		40	0	0,5	10			Cake:5;ConeIcecream:5	
	Base.Ketchup		NoExplicit	Кетчуп	-20		1480	0	0	370			Sandwich:2;Sandwich Baguette:2;Burger:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2;Taco:2;Burrito:2	
	Base.Lard	360	NoExplicit	Сало	-24		4095	0	454	0			Sandwich:2;Sandwich Baguette:2;Stir fry Griddle Pan:4;Stir fry:4;Roasted Vegetables:4;PastaPot:4;PastaPan:4;Taco:2;Burrito:2;Toast:2;Soup:4;Stew:4	
	Base.Leek	50	Vegetables	Лук-порей	-12	-5	54	1,34	0,27	12,59			Omelette:6;Soup:12;Stew:12;Pie:12;Stir fry Griddle Pan:12;Stir fry:12;Salad:6;Roasted Vegetables:12;RicePot:12;RicePan:12;PastaPot:12;PastaPan:12	
	Base.Lemon	30	Citrus	Лимон	-10	-5	17	0,64	0,17	5,41			HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Cake:5;FruitSalad:5;Pancakes:5;Waffles:5;Muffin:5;PieSweet:5;Stir fry Griddle Pan:5;Stir fry:5;Soup:10;Beverage:2;Beverage2:2;Beer:2;Beer2;Taco:2;Burrito:2	
	Base.LemonGrass	-1	Herb	Лимонная трава	-1		0,1	0	0	0			Soup:1;Stew:1;Stir fry Griddle Pan:1;Stir fry:1;Roasted Vegetables:1;RicePot:1;RicePan:1;HotDrink:1;HotDrinkRed:1;HotDrinkWhite:1;HotDrinkSpiffo:1;HotDrinkTea:1	
	Base.Lettuce	30	Greens	Салат-латук	-15	-7	54	4,9	0,54	10,33			Sandwich:3;Burger:3;Salad:5;Sandwich Baguette:3	
	Base.LicoriceBlack	20	Candy	Черная лакрица	-2		22	0	0	7			ConeIcecream:2	
	Base.LicoriceRed	20	Candy	Красная лакрица	-2		22	0	0	7			ConeIcecream:2	
	Base.Lime	30	Citrus	Лайм	-10	-5	17	0,64	0,17	5,41			HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Cake:5;FruitSalad:2;Pancakes:2;Waffles:2;Muffin:5;PieSweet:5;Stir fry Griddle Pan:5;Stir fry:5;Soup:10;Beverage:2;Beverage2:2;Beer:2;Beer2;Taco:2;Burrito:2	
	Base.Lobster	30	Seafood	Лобстер	-40		120	28	7	0			Taco:5|Cooked;Burrito:10|Cooked;Pizza:10;Soup:20;Stew:20;Pie:10;Stir fry Griddle Pan:20;Stir fry:20;Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:10|Cooked;Salad:5|Cooked;Roasted Vegetables:20;RicePot:20;RicePan:20;PastaPot:20;PastaPan:20	
	Base.Lollipop			Леденец	-5		40	0	0,5	10				
	Base.Macandcheese			Макароны с сыром	-40		690	21	12	126				
	Base.Maggots			Личинки	-1		1,5	0,25	0,05	0				
	Base.Maggots2			Личинки	-1		1,5	0,25	0,05	0				
	Base.Maki			Роллы	-8		12	2	1	5				
	Base.Mango	90	Fruits	Манго	-20	-13	252	3,89	1,09	78,7			Cake:10;FruitSalad:10;Pancakes:10;Waffles:10;Muffin:10;PieSweet:10;Oatmeal:5	
	Base.MapleSyrup		NoExplicit	Кленовый сироп	-45		1100	0	0	270			Pancakes:3;Waffles:3;ConeIcecream:3;Oatmeal:3;Beverage:3;Beverage2:3;Oatmeal:3	
	Base.Margarine		NoExplicit	Маргарин	-24		3255	1	368	4			Pancakes:4;Waffles:4;Sandwich:2;Sandwich Baguette:2;Stir fry Griddle Pan:4;Stir fry:4;Roasted Vegetables:4;PastaPot:4;PastaPan:4;Taco:2;Burrito:2;Toast:2;Oatmeal:2	
	Base.Marinara		NoExplicit	Соус маринара	-10		350	10	7,5	55			Pizza:5;Sandwich:2;Sandwich Baguette:2;Burger:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2	
	Base.Marshmallows		NoExplicit	Маршмеллоу	-5		30	0,5	0	8			Cake:5;Pancakes:5;Waffles:5;ConeIcecream:5;PieSweet:5	
	Base.MeatDumpling	240	Meat	Дамплинг	-10		28	15	3	8			Soup:15;Stew:15	
	Base.MeatPatty	240	Beef	Котлета	-40		380	46	30	0			Stew:20;Pie:20;Burger:10|Cooked;Taco:10|Cooked;Burrito:10|Cooked	
	Base.MeatSteamBun			Паровая булочка с мясом	-15		35	18	4	12				
	Base.Milk	120	Milk	Молоко	-10	-100	110	8	2,5	13			HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Beverage:2;Beverage2:2;Oatmeal:2;Soup:5;Stew:5	
	Base.Millipede			Многоножка	-5		60	15,21	6,5	3,5				
	Base.Millipede2			Многоножка	-5		60	15,21	6,5	3,5				
	Base.MincedMeat	240	Beef	Фарш	-40		300	46	30	0			Pizza:20;Stew:20;Pie:20;Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:10|Cooked;Taco:10|Cooked;Burrito:10|Cooked	
	Base.MintCandy			Мятная конфета	-2		60	0	0	15				
	Base.MixedVegetables	50	Vegetables	Овощная смесь	-20	-5	271	9	0	37			Soup:10;Stew:10;Stir fry Griddle Pan:10;Stir fry:10;Roasted Vegetables:10;RicePot:10;RicePan:10;Omelette:5	
	Base.Modjeska			Конфета моджеска	-10		60	0	0	15				
	Base.MonarchCaterpillar			Гусеница	-5		27	27,55	20,24	3				
	Base.MuffinFruit			Фруктовый маффин	-7		120	14,53	12,61	10,45				
	Base.MuffinGeneric			Маффин	-7		120	14,53	12,61	10,45				
	Base.Muffintray_Biscuit				-23		960	6	48	132	TRUE			
	Base.Mugfull			Кружка горячего напитка	-5	-50	4	0,12	0	0,75				
	Base.MushroomGeneric1	330	Mushroom	Грибы	-13	-1	30	2,04	0,24	2,12			Pizza:13;Burger:13;Omelette:13;Stir fry Griddle Pan:13;Stir fry:13;Stew:13;Pie:13;Soup:13;Sandwich:13;Sandwich Baguette:13;Salad:13;Roasted Vegetables:13;RicePot:13;RicePan:13;PastaPot:13;PastaPan:13;HotDrink:6;HotDrinkRed:6;HotDrinkWhite:6;HotDrinkSpiffo:6;HotDrinkTea:6	
	Base.MushroomGeneric2	330	Mushroom	Грибы	-13	-1	30	2,04	0,24	2,12			Pizza:13;Burger:13;Omelette:13;Stir fry Griddle Pan:13;Stir fry:13;Stew:13;Pie:13;Soup:13;Sandwich:13;Sandwich Baguette:13;Salad:13;Roasted Vegetables:13;RicePot:13;RicePan:13;PastaPot:13;PastaPan:13;HotDrink:6;HotDrinkRed:6;HotDrinkWhite:6;HotDrinkSpiffo:6;HotDrinkTea:6	
	Base.MushroomGeneric3	330	Mushroom	Грибы	-15	-1	32	2,36	0,32	2,56			Pizza:15;Burger:15;Omelette:15;Stir fry Griddle Pan:15;Stir fry:15;Stew:15;Pie:15;Soup:15;Sandwich:15;Sandwich Baguette:15;Salad:15;Roasted Vegetables:15;RicePot:15;RicePan:15;PastaPot:15;PastaPan:15;HotDrink:5;HotDrinkRed:5;HotDrinkWhite:5;HotDrinkSpiffo:5;HotDrinkTea:5	
	Base.MushroomGeneric4	330	Mushroom	Грибы	-13	-1	30	2,04	0,24	2,12			Pizza:13;Burger:13;Omelette:13;Stir fry Griddle Pan:13;Stir fry:13;Stew:13;Pie:13;Soup:13;Sandwich:13;Sandwich Baguette:13;Salad:13;Roasted Vegetables:13;RicePot:13;RicePan:13;PastaPot:13;PastaPan:13;HotDrink:5;HotDrinkRed:5;HotDrinkWhite:5;HotDrinkSpiffo:5;HotDrinkTea:5	
	Base.MushroomGeneric5	330	Mushroom	Грибы	-15	-1	32	2,36	0,32	2,56			Pizza:15;Burger:15;Omelette:15;Stir fry Griddle Pan:15;Stir fry:15;Stew:15;Pie:15;Soup:15;Sandwich:15;Sandwich Baguette:15;Salad:15;Roasted Vegetables:15;RicePot:15;RicePan:15;PastaPot:15;PastaPan:15;HotDrink:5;HotDrinkRed:5;HotDrinkWhite:5;HotDrinkSpiffo:5;HotDrinkTea:5	
	Base.MushroomGeneric6	330	Mushroom	Грибы	-13	-1	30	2,04	0,24	2,12			Pizza:13;Burger:13;Omelette:13;Stir fry Griddle Pan:13;Stir fry:13;Stew:13;Pie:13;Soup:13;Sandwich:13;Sandwich Baguette:13;Salad:13;Roasted Vegetables:13;RicePot:13;RicePan:13;PastaPot:13;PastaPan:13;HotDrink:6;HotDrinkRed:6;HotDrinkWhite:6;HotDrinkSpiffo:6;HotDrinkTea:6	
	Base.MushroomGeneric7	330	Mushroom	Грибы	-13	-1	32	2,04	0,24	2,12			Pizza:13;Burger:13;Omelette:13;Stir fry Griddle Pan:13;Stir fry:13;Stew:13;Pie:13;Soup:13;Sandwich:13;Sandwich Baguette:13;Salad:13;Roasted Vegetables:13;RicePot:13;RicePan:13;PastaPot:13;PastaPan:13;HotDrink:6;HotDrinkRed:6;HotDrinkWhite:6;HotDrinkSpiffo:6;HotDrinkTea:6	
	Base.Mustard		NoExplicit	Горчица	-20		510	0	0	0			Sandwich:2;Sandwich Baguette:2;Burger:2;Salad:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2	
	Base.MuttonChop	240	Meat	Баранья отбивная	-30		234	33	11	0,08			Soup:15;Stew:15;Pie:15;Stir fry Griddle Pan:15;Stir fry:15;Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:10|Cooked;Salad:10|Cooked;Roasted Vegetables:15;RicePot:15;RicePan:15;PastaPot:15;PastaPan:15	
	Base.Nettles	-1	Herb	Крапива	-4		50	2	0	15			Salad:2;HotDrink:2;HotDrinkRed:2;HotDrinkWhite:2;HotDrinkSpiffo:2;HotDrinkTea:2;Soup:2	
	Base.NoodleSoup			Суп с лапшой	-10		52	10	14	0				
3	Base.Oatmeal			Миска овсянки	-8		300	15	9	81				Ананас; Банан; Вишня; Груша; Йогурт; Кленовый сироп; Кленовый сироп; Клубника; Коричневый сахар; Красивоплодник; Мёд; Манго; Маргарин; Мармелад; Масло; Молоко; Открыт. консерв. ананасы; Открыт. консерв. персики; Открыт. консерв. фруктовый коктейль; Открыт. сгущёнка; Падуб; Падуб мутовчатый; Пакетик сахара; Персик; Сахар; Фруктовый джем; Яблоко; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды
	Base.OatsRaw	80		Банка овсянки	-50		1500	75	45	405				
	Base.OilOlive	180	Oil	Оливковое масло	-30		2480	0	150	0			Pizza:5;Sandwich:2;Sandwich Baguette:2;Burger:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2;Stir fry Griddle Pan:2;Stir fry:2;Salad:2;Roasted Vegetables:2;Taco:2;Burrito:2;Soup:2;Stew:2	
	Base.OilVegetable	180	Oil	Растительное масло	-30		2120	0	130	0			Sandwich:2;Sandwich Baguette:2;Burger:2;RicePot:2;RicePan:2;PastaPot:2;PastaPan:2;Stir fry Griddle Pan:2;Stir fry:2;Salad:2;Roasted Vegetables:2;Taco:2;Burrito:2;Soup:5;Stew:5	
3	Base.OmeletteRecipe	120	Egg	Омлет	-14		123	11	8,33	2			Sandwich:14|Cooked;Sandwich Baguette:14|Cooked;Burger:14|Cooked;Burrito:14|Cooked;Taco:7|Cooked	Авокадо; Базилик; Баклажан; Брокколи; Горох; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Грибы; Гуакамоле; Зелёный лук; Картофель; Кинза; Кукуруза; Кусочек ветчины; Кусочки бекона; Ломтики бекона; Лук-порей; Луковые кольца; Миска бобов; Овощная смесь; Одуванчики; Орегано; Острый соус; Открыт. консерв. бобы; Открыт. консерв. болоньезе; Открыт. консерв. говядина; Открыт. консерв. горох; Открыт. консерв. грибной суп; Открыт. консерв. картофель; Открыт. консерв. кукуруза; Открыт. консерв. морковь; Открыт. консерв. мясо с чили; Открыт. консерв. сардины; Открыт. консерв. томат; Открыт. консерв. тунец; Пережаренная фасоль; Петрушка; Розмарин; Сладкий перец; Томат; Томатная паста; Хабанеро; Халапеньо; Хот-дог; Цукини; Чабрец; Черемша; Шалфей
	Base.Onigiri			Онигири	-10		25	18	4	12				
	Base.Onion	50	Vegetables	Лук	-10		28	0,77	0,07	6,54				
	Base.OnionRings	50	Vegetables	Луковые кольца	-5		30	1	3	12			Pizza:5;Omelette:5;Soup:5;Stew:5;Pie:5;Stir fry Griddle Pan:5;Stir fry:5;Sandwich:5;Sandwich Baguette:5;Burger:5;Salad:5;Roasted Vegetables:5;RicePot:5;RicePan:5;PastaPot:5;PastaPan:5;Taco:5;Burrito:5	
	Base.OpenBeans	120	Bean	Открыт. консерв. бобы	-24		170	7	1	33		TRUE	Omelette:8;Soup:24;Stew:24;RicePot:24;RicePan:24;Sandwich:8;Sandwich Baguette:8;Toast:8;Salad:8	
	Base.Orange	30	Fruits	Апельсин	-12	-8	65	1	0,3	16,27			Cake:12;FruitSalad:6;Pancakes:6;Waffles:6;Muffin:6;PieSweet:12;Salad:6	
	Base.Oregano	-1	Herb	Орегано	-1		0,1	0	0	0			Pizza:1;Omelette:1;PastaPan:1;PastaPot:1;Roasted Vegetables:1;Salad:1;Soup:1;Stew:1;Bread:1;Toast:1;Burger:1	
	Base.Oysters	30	Seafood	Устрицы	-5		15	22	4	10			Pizza:5;Soup:5;Stew:5;Pie:5;Stir fry Griddle Pan:5;Stir fry:5;Sandwich:5|Cooked;Sandwich Baguette:5|Cooked;Burger:5|Cooked;Salad:5|Cooked;Roasted Vegetables:5;RicePot:5;RicePan:5;PastaPot:5;PastaPan:5	
	Base.OystersFried	30	Seafood	Жареные устрицы	-6		25	20	4	11			Pizza:6;Soup:6;Stew:6;Pie:6;Stir fry Griddle Pan:6;Stir fry:6;Sandwich:6|Cooked;Sandwich Baguette:6|Cooked;Burger:6|Cooked;Salad:6|Cooked;Roasted Vegetables:6;RicePot:6;RicePan:6;PastaPot:6;PastaPan:6	
	Base.Painauchocolat			Шоколатин	-2		414	6,9	21,1	47,4				
2	Base.PanFriedVegetables			Стир-фрай			516	4,8	41,5	36				
2	Base.PanFriedVegetables2			Жаркое			180	6	2,5	36				
1	Base.Pancakes			Блины	-16		210	6	2	42				Ананас; Апельсин; Банан; Виноград; Вишня; Грейпфрут; Груша; Какао-порошок; Кленовый сироп; Клубника; Красивоплодник; Куски арбуза; Лайм; Лимон; Ломтик арбуза; Мёд; Манго; Маргарин; Мармелад; Маршмеллоу; Масло; Открыт. консерв. ананасы; Открыт. консерв. персики; Открыт. консерв. фруктовый коктейль; Открыт. консерв. фруктовый напиток; Открыт. сгущёнка; Падуб; Падуб мутовчатый; Персик; Сахарная глазурь; Фруктовый джем; Шоколадная крошка; Яблоко; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды; Ягоды
	Base.PancakesCraft			Блины	-20		210	6	2	42				
2	Base.PancakesRecipe			Блины	-20		210	6	2	42				
	Base.Panfish			Рыба-солнце	-15		155	25	2	1				
	Base.Parsley	-1	Herb	Петрушка	-1		0,1	0	0	0			Pizza:1;Omelette:1;PastaPan:1;PastaPot:1;RicePan:1;RicePot:1;Roasted Vegetables:1;Salad:1;Sandwich:1;Sandwich Baguette:1;Stew:1;Soup:1;Bread:1;Toast:1;Burger:1	
	Base.Pasta			Спагетти	-60	60	3360	112	16	656				
	Base.PastaBowl			Миска спагетти	-12		330	24	6,5	41				
2	Base.PastaPan			Спагетти			560	18,66	2,66	109,3				
2	Base.PastaPot			Спагетти			560	18,66	2,66	109,3				
	Base.Peach	40	Fruits	Персик	-12	-5	58	1,36	0,38	14,31			Cake:12;FruitSalad:6;Pancakes:6;Waffles:6;Muffin:6;PieSweet:12;Oatmeal:5	
	Base.PeanutButter		NoExplicit	Арахисовое масло	-25		2660	84	224	128			Soup:5;Stir fry Griddle Pan:5;Stir fry:5;Sandwich:5;Sandwich Baguette:5;Toast:5;ConeIcecream:5	
	Base.PeanutButterSandwich			Бутерброд с арахисовым маслом	-17		250	7	25	14				
